Part Name,eBay Scraped Avg Price,eBay Scraped Low Price,eBay Scraped URL,Scraped Image Path,AI Image Valid,Google Shopping Avg Price,Google Shopping URL
Sedan,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Sedan%20used%20price&tbm=shop
2019 2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202021%20used%20price&tbm=shop
Window,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Window%20used%20price&tbm=shop
K3,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20K3%20used%20price&tbm=shop
Post,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Post%20used%20price&tbm=shop
Black,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Black%20used%20price&tbm=shop
Pillar,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Pillar%20used%20price&tbm=shop
2019 2023,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202023%20used%20price&tbm=shop
Trim,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Trim%20used%20price&tbm=shop
Pillar Post,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Pillar%20Post%20used%20price&tbm=shop
No,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20No%20used%20price&tbm=shop
Sedan,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Sedan%20used%20price&tbm=shop
Halogen No,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Halogen%20No%20used%20price&tbm=shop
2019,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%20used%20price&tbm=shop
2021 Sedan,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%20Sedan%20used%20price&tbm=shop
Halogen,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Halogen%20used%20price&tbm=shop
No Led,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20No%20Led%20used%20price&tbm=shop
Led,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Led%20used%20price&tbm=shop
2019 2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202021%20used%20price&tbm=shop
2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%20used%20price&tbm=shop
Chrome,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Chrome%20used%20price&tbm=shop
Grille Grill,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Grille%20Grill%20used%20price&tbm=shop
Grille,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Grille%20used%20price&tbm=shop
2019,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%20used%20price&tbm=shop
Grill,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Grill%20used%20price&tbm=shop
Upper,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Upper%20used%20price&tbm=shop
Chrome Trim,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Chrome%20Trim%20used%20price&tbm=shop
Upper Grille,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Upper%20Grille%20used%20price&tbm=shop
Trim,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Trim%20used%20price&tbm=shop
Grill Chrome,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Grill%20Chrome%20used%20price&tbm=shop
Daytime,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Daytime%20used%20price&tbm=shop
Signal,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Signal%20used%20price&tbm=shop
Fog,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Fog%20used%20price&tbm=shop
Running Lamp,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Running%20Lamp%20used%20price&tbm=shop
Daytime Running,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Daytime%20Running%20used%20price&tbm=shop
2019,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%20used%20price&tbm=shop
Lamp,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Lamp%20used%20price&tbm=shop
2019 2020,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202020%20used%20price&tbm=shop
Light,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Light%20used%20price&tbm=shop
Running,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Running%20used%20price&tbm=shop
Lower,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Lower%20used%20price&tbm=shop
Grille,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Grille%20used%20price&tbm=shop
2019,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%20used%20price&tbm=shop
Grill,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Grill%20used%20price&tbm=shop
Black,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Black%20used%20price&tbm=shop
Upper,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Upper%20used%20price&tbm=shop
Ki1015113,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Ki1015113%20used%20price&tbm=shop
2019 2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202021%20used%20price&tbm=shop
2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%20used%20price&tbm=shop
Weather,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Weather%20used%20price&tbm=shop
Floor Liner,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Floor%20Liner%20used%20price&tbm=shop
Liner Mat,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Liner%20Mat%20used%20price&tbm=shop
All,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20All%20used%20price&tbm=shop
Floor,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Floor%20used%20price&tbm=shop
Liner,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Liner%20used%20price&tbm=shop
All Weather,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20All%20Weather%20used%20price&tbm=shop
2019 2024,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202024%20used%20price&tbm=shop
Mat,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Mat%20used%20price&tbm=shop
Floor Mat,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Floor%20Mat%20used%20price&tbm=shop
Fob,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Fob%20used%20price&tbm=shop
95440 M6000,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%2095440%20M6000%20used%20price&tbm=shop
Remote,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Remote%20used%20price&tbm=shop
Remote Fob,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Remote%20Fob%20used%20price&tbm=shop
2019,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%20used%20price&tbm=shop
2021 95440 M6000,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%2095440%20M6000%20used%20price&tbm=shop
Key,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Key%20used%20price&tbm=shop
2019 2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202021%20used%20price&tbm=shop
2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%20used%20price&tbm=shop
Primered,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Primered%20used%20price&tbm=shop
Sedan,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Sedan%20used%20price&tbm=shop
Upper Fascia,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Upper%20Fascia%20used%20price&tbm=shop
Fascia,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Fascia%20used%20price&tbm=shop
2019,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%20used%20price&tbm=shop
Upper,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Upper%20used%20price&tbm=shop
2021 Sedan,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%20Sedan%20used%20price&tbm=shop
Primered Upper,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Primered%20Upper%20used%20price&tbm=shop
2019 2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202021%20used%20price&tbm=shop
2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%20used%20price&tbm=shop
Jack 2010 2020,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Jack%202010%202020%20used%20price&tbm=shop
Spare Jack,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Spare%20Jack%20used%20price&tbm=shop
16 Jack,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%2016%20Jack%20used%20price&tbm=shop
16,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%2016%20used%20price&tbm=shop
Jack,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Jack%20used%20price&tbm=shop
Jack 16,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Jack%2016%20used%20price&tbm=shop
Spare 16,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Spare%2016%20used%20price&tbm=shop
Spare,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Spare%20used%20price&tbm=shop
2010 2020,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202010%202020%20used%20price&tbm=shop
Compact,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Compact%20used%20price&tbm=shop
To Match,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20To%20Match%20used%20price&tbm=shop
Match Black,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Match%20Black%20used%20price&tbm=shop
Power,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Power%20used%20price&tbm=shop
Power Paint,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Power%20Paint%20used%20price&tbm=shop
Match,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Match%20used%20price&tbm=shop
Paint To,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Paint%20To%20used%20price&tbm=shop
Paint,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Paint%20used%20price&tbm=shop
Black,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Black%20used%20price&tbm=shop
2019 2020,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202020%20used%20price&tbm=shop
To,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20To%20used%20price&tbm=shop
2019 2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202021%20used%20price&tbm=shop
2019 2020,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202020%20used%20price&tbm=shop
2019 2024,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202024%20used%20price&tbm=shop
2019 2023,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202023%20used%20price&tbm=shop
Fit,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Fit%20used%20price&tbm=shop
